have they media news -> fake: 1.0
have that media -> news fake: 0.75
they with media news -> fake: 0.96875
they their media -> news fake: 0.7857142857142857
with that media -> news fake: 0.7446808510638298
their media news democrats -> fake: 0.9746835443037974
they that media news -> fake: 0.9784172661870504
they with media -> news fake: 0.8017241379310345
they their media news -> fake: 1.0
with that media news -> fake: 0.9722222222222222
they that media -> news fake: 0.8192771084337349
have that media news -> fake: 0.9868421052631579
have they media -> news fake: 0.7477477477477478
they with that news -> fake: 0.9310344827586207
have they that news -> fake: 0.9473684210526315
